Tai yra tiesa.	That's true.
Perskaityk pranešimą dar kartą.	Read the message once more.
Pinigai pradingo.	The money disappeared.
Po filmo jie užmigo.	After the movie they fall asleep.
Po to jau prabėgo visi metai.	A year has passed since then.
Prašom pakeisti vėliavą.	Change the flag, please.
Sapnavau košmarą.	I had a bad dream.
Ši rožė yra nuostabi.	This rose is beautiful.
Šita yra mano karvė.	This is my cow.
Susitariau susitikti su ja penktą valandą stotyje.	I arranged a meeting on the train station with her at five o'clock
Tai yra puikus meno kūrinys.	It's a wonderful work of art.
Ta sena tradicija išnyko.	That old tradition has disappeared.
Tavo dukra išgirdo mus kalbant.	Your daughter overheard us talking.
Tavo mokiniai manęs nemėgsta.	Your students don't like me.
Tėvas nupirko man naują dviratį.	Father bought me a new bicycle.
Tie mokiniai tikrai nemoka skaityti.	Those students really can't read.
Tie mokiniai yra iš labai geros mokyklos.	Those students are from a very good school.
Tigras pabėgo iš zoologijos sodo.	A tiger has escaped from the zoo.
Tikėk tais kurie ieško tiesos, saugokis tų kurie ją randa.	Believe those who seek truth, beware those who find it.
Tomas buvo nuobodus.	Tom was boring.
Tomas išgyvens.	Tom'll survive.
Tomas išsiskyrė su manimi.	Tom broke up with me.
Tomas mėgsta žaisti beisbolą.	Tom likes to play baseball.
Tomas neturėjo ką slėpti.	Tom had nothing to hide.
Tomas padarė kažką neįtikėtinai kvailą.	Tom did something unbelievably stupid.
Tomas pagaliau kažką suvalgė.	Tom finally ate something.
Tomas pradingo.	Tom has disappeared.
Tomas sakė, kad tu kalbi prancūziškai.	Tom said you speak French.
Tomas suvalgė visą picą vienas.	Tom ate the whole pizza by himself.
Tu darai didžiulę klaidą.	You're making a big mistake.
Tu esi inžinierius.	You're an engineer.
Vakar man skaudėjo ranką.	I had an ache in my arm yesterday.
Visas sniegas ant kalno pradingo.	All the snow on the mountain has disappeared.
Visi jos mokiniai labai mėgsta skaityti knygas.	All her students really love to read books.
Žiūrint į jį, jį galima palaikyti mergaite.	To look at him, you'd take him for a girl.
Žmonės žaidžia beisbolą.	The people are playing baseball.
Ar buvo taip pat kaip praeitais metais?	Was it like last year?
Ar galiu palydėti tave iki oro uosto?	May I accompany you to the airport?
Ar jūs matėte mano katę?	Did you see my cat?
Ar tiki meile iš pirmo žvilgsnio?	Do you believe in love at first sight?
Ar tikite meile iš pirmo žvilgsnio?	Do you believe in love at first sight?
Ar tu matei mano katę?	Did you see my cat?
Ar tu moki sukti krepšinio kamuolį ant piršto?	Can you spin a basketball on your fingertip?
Ar tu nežinai kur mano seni akiniai?	Do you know where my old glasses are?
Ašaros yra vaiko ginklas.	Tears are a child's weapon.
Aš atsakiau į visus Tomo klausimus.	I answered all of Tom's questions.
Aš eičiau į kino teatrą.	I wouldn't mind going to the cinema.
Aš esu krepšinio komandos narys.	I am a member of the basketball team.
Aš esu žurnalistas.	I'm a journalist.
Aš gėriau kavą.	I drank the coffee.
Aš gėriau vyną.	I drank the wine.
Aš išleidau tik tris dolerius.	I only spent three dollars.
Aš išmokau groti gitara kai man buvo dešimt metų.	I learned to play guitar when I was ten years old.
Aš jau atsakiau į tą klausimą.	I've already answered that question.
Aš kasdien rašau dienoraštį.	I am keeping a diary every day.
Aš mačiau sprogimą.	I saw an explosion.
Aš mėgstu keliauti ir lankyti naujas vietas.	I like to travel and visit new places.
Aš mėgstu ledus.	I like ice cream.
Aš mėgstu tavo katę, bet ji nemėgsta manęs.	I like your cat, but she doesn't like me.
Aš mėgstu žalią spalvą.	I like the colour green.
Aš mokausi du užsienio kalbas.	I am learning two foreign languages.
Aš norėčiau turėti katę.	I'd like to have a cat.
Aš noriu būti žurnalistas.	I want to be a journalist.
Aš nusipirkau geriausios kokybės kompiuterį.	I bought a computer of the best quality.
Aš nusprendžiau nustoti mokytis prancūzų kalbos.	I've decided to stop studying French.
Aš paprašiau Tomo groti gitara.	I asked Tom to play the guitar.
Aš pavėlavau į savo skrydį.	I missed my flight.
Aš priverčiau jį pasakyti tiesą.	I made him tell the truth.
Aš tą darau kiekvieną sekmadienio rytą.	I do it every Sunday morning.
Aš truputį nervinuosi.	I'm a little nervous.
Aš turiu baltą katę.	I have a white cat.
Aš turiu katę ir šunį. Katė yra juoda, o šuo yra baltas.	I have a cat and a dog. The cat is black and the dog is white.
Aš turiu vieną katę.	I own one cat.
Atidaryk duris ir įleisk mano katę.	Open the door to let my cat in.
Bangos yra aukštos šiandien.	The waves are high today.
Baterija numirė.	The battery died out.
Bet jai patiko vaikai ir ji mėgo savo darbą.	But she liked children and she enjoyed her work.
Bilas man atnešė stiklinę vandens.	Bill brought me a glass of water.
Daktare, ar galite manęs išklausyti?	Doctor, can you hear me out?
Duokite tą katę mums.	Give that cat to us.
Du vaikai sėdi ant tvoros viršaus.	Two children are sitting on top of the fence.
Esu pamišusi dėl golfo.	I am crazy about golf.
Esu pas tetą.	I'm staying at my aunt's.
Geras šūvis, vaike. Pataikei.	Good shot, kid. You got him.
Greitai sužinosime tiesą.	We'll soon know the truth.
Jau beveik septynios valandos. Turime eiti į mokyklą.	It is close to seven o'clock. We have to go to school.
Jei aš nebūčiau gavęs jo pagalbos, aš būčiau negyvas.	If I hadn't had his help, I would be dead.
Jei būtum gyvūnas, kokiu būtum?	If you were an animal, what would you be?
Ji atidarė duris.	She opened the door.
Jie nuvažiavo atgal į ligoninę.	They drove back to the hospital.
Ji greitai atidarė laišką.	She quickly opened the letter.
Ji keliavo aplink Europą.	She travelled around Europe.
Ji keliavo aplink pasaulį.	She traveled around the world.
Ji mėgsta ledus.	She has liking for ice cream.
Ji niekada man nesakė kad ji turi katę.	She never told me she had a cat.
Jis atidarė automobilio duris.	He opened the door of the car.
Jis dėvi naują paltą.	He's wearing a new coat.
Jis gali groti gitara.	He can play the guitar.
Jis nežino kad aš turiu katę.	He doesn't know that I have a cat.
Jis pametė savo bilietą į kiną.	He lost his ticket for the movie.
Jis yra žurnalistas.	He's a journalist.
Ji tapo sesele.	She became a nurse.
Ji turi katę. Katė yra balta.	She has a cat. The cat is white.
Ji turi vieną katę.	She has one cat.
Joks žmogus negali išgyventi iki šimto.	No man can live to be two hundred years old.
Jo plaukai buvo rudii.	His hair was brown.
Jo šeima daug keliavo.	His family moved around quite a lot.
Jums reikia tiktai paspausti mygtuką.	You have only to push the button.
Jūs matote skirtumą?	Do you see the difference?
Kai kuriuose vietose lyja.	It rains in some places.
Kaip ištarti šį žodį?	How do you say this word?
Ką pasakys spauda?	What will the newspapers say?
Karvė yra naudingas gyvūnas.	A cow is a useful animal.
Katė perėjo gatvę.	The cat crossed the street.
Katės yra labai švarūs gyvūnai.	Cats are very clean animals.
Kažkas atidarė duris.	Somebody opened the door.
Kažkas pavogė mano vairuotojo pažymėjimą.	Someone stole my driver's license.
Kodėl tu nežiūri televizoriaus?	Why don't you watch TV?
Kokį automobilį Tomas vairuoja?	What kind of car does Tom drive?
Kokia yra kambario nuomos kaina?	How much is the rent for this room?
Kokie tu manai yra šansai kad tai atsitiks?	What do you think is the chance that that will happen?
Kokios Tomas klausosi muzikos?	What kind of music does Tom listen to?
Kokius ledus tu mėgsti?	What kind of ice cream do you like?
Kokius tyrimus jūsų organizacija atlieka?	What kind of research does the organization do?
Koks sportas tau patinka labiausiai?	What sport do you like best?
Laikas tau nustoti žiūrėti televizorių.	It's time you stopped watching television.
Man nereikia naujo televizoriaus.	I don't need a new TV.
Mano batai yra rudi.	My shoes are brown.
Mano tėvas neleido man už jo ištekėti.	My father didn't allow me to marry him.
Marika išvertė mano knygą į vokiečių kalbą.	Marika translated my book into German.
Mėgstu groti gitara.	I like to play guitar.
Merė yra aukšta.	Mary is tall.
Mes kadaise turėjome katę, bet vieną dieną ji pradingo.	We used to have a cat, but one day it disappeared.
Mes niekur negalėjome nusipirkti kelių ginklų.	We couldn't buy a few guns anywhere.
Mes norime žinoti faktus.	We want to know the facts.
Mes puikiai praleidome laiką.	We had a wonderful time.
Metai praeina greitai.	The years pass by quickly.
Metas tuoktis!	Time to get married!
Muziejus vertas į jį nueiti.	The museum is worth visiting.
Neturiu apetito.	I have no appetite.
Ne visi mokytojai taip elgiasi.	Not all teachers behave like that.
Nežinoti ką daryti yra didžiausia problema.	Not knowing what to do is the biggest problem.
Norėčiau tapti arba daktare, arba sesele, arba mokytoja.	I want to be a doctor or a nurse or a teacher.
Nuleiskite savo ginklus!	Put down your weapons!
Nunešk katę į mano kambarį.	Take the cat to my room.
Palik mane ramybėje, arba iškviesiu policiją!	Leave me alone or I'll call the police.
Pasaulyje daug žmonių yra alkani.	Many people in the world are hungry.
Pasirašyk virš šitos linijos.	Sign above this line.
Paukščiai buvo alkani.	The birds were hungry.
Paukštis skraido.	The bird flies.
Pažiūrėk atgal ir pamatysi juodą katę.	Look back and you'll see a black cat.
Praėjusį sekmadienį mano mama man nupirko gražią suknelę.	My mother bought me a pretty dress this past Sunday.
Prašau atsiųsk man dar vieną kopiją.	Please send me another copy.
Prašyčiau atnešti man stiklinę vandens.	Please bring me a glass of water.
Prašyčiau paspausti mygtuką.	Push the button, please.
Prieš dvejus metus aš visai negalėjau žaisti krepšinio.	Two years ago I could not play basketball at all.
Pyragas yra skanus.	The pie is delicious.
Robertas mėgo kalbėti su savo mergina.	Robert enjoyed talking with his girlfriend.
Šie marškiniai yra tokie patys. Jie yra to pačio dydžio.	These shirts are the same. They are the same size.
Šie saulės akiniai yra per dideli.	These sunglasses are too big.
Ši idėja yra labai patraukli.	The idea is very attractive.
Šis patiekalas yra skanus.	This dish is tasty.
Šis tiltas buvo pastatytas prieš dvejus metus.	This bridge was built two years ago.
Šis tortas yra skanus.	The cake is tasty.
Šiuo metu Tomas niekur nedirba.	Tom isn't currently working anywhere.
Šiuos vaistus reikia vartoti tris kartus per dieną.	These medicines should be taken three times a day.
Supranti skirtumą?	Do you understand the difference?
Tai buvo meilė iš pirmo žvilgsnio.	It was love at first sight.
Tas tortas yra labai skanus!	That cake is really tasty!
Tau reikia tiktai paspausti mygtuką.	You have only to push the button.
Tau tereikia paspausti mygtuką.	You have only to push the button.
Tavo akiniai nukrito ant grindų.	Your glasses fell on the floor.
Tavo atsakymas yra neteisingas.	Your answer is wrong.
Televizija leidžia mums sužinoti kas šiandien vyksta.	Television enables us to know what is happening today.
Tik tu gali nešti šį maišą.	Only you can carry the bag.
Tomas atidarė seifą.	Tom opened the safe.
Tomas pakėlė ranką.	Tom raised his hand.
Tomas sakė, kad jis nekentė šios knygos.	Tom said he hated this book.
Tomas turi tetą kuri yra kalėjime.	Tom has an aunt who is in prison.
Tomas vairuoja.	Tom drives.
Tomas žino, kas yra Mary.	Tom knows who Mary is.
Tortas yra skanus.	The cake is tasty.
Tu geri žalią arbatą?	Do you drink green tea?
Tu lengvai galėsi pamatyti skirtumą.	You'll be able to see the difference very easily.
Uždarykite langą.	Close the window.
Vakar vakare aš gėriau alų.	I drank beer last night.
Visa tai, ką matei, buvo iliuzija.	Everything you saw was an illusion.
Žuvis ir raudonas vynas vienas prie kito nedera.	Fish and red wine don't go together.
Ar jie vakar buvo bibliotekoje?	Were they in the library yesterday?
Ar jums patinka italų kalba?	Do you like Italian?
Ar jūs matėte mano sesę?	Did you see my sister?
Ar manai kad turėčiau pasakyti Tomui?	Do you think I should tell Tom?
Ar mokate naudotis kompiuteriu?	Do you know how to use a computer?
Ar moki naudotis kompiuteriu?	Do you know how to use a computer?
Ar policija suėmė Tomą?	Did the police arrest Tom?
Ar šis žodis dažnai naudojamas?	Is this word in common use?
Ar sumokėjai už knygą?	Did you pay for the book?
Ar tu matei mano sesę?	Did you see my sister?
Ar tu žinai kiek ji turi kačių?	Do you know how many cats she has?
Ar vaikas vis dar nemiega?	Is the kid still up?
Ar yra televizorius į jūsų miegamąjį?	Is there a TV in your bedroom?
Ar žinote, koks yra televizijos bokšto aukštis?	Do you know how high the television tower is?
Aš buvau bibliotekoje.	I was at the library.
Aš daviau jai žodį kad aš būsiu namie prieš devintą.	I gave her my word I would be back home by nine.
Aš daviau tą knygą Tomui šį rytą.	I gave that book to Tom this morning.
Aš daviau Tomui porą bilietų į savo koncertą.	I gave Tom a couple of tickets for my concert.
Aš daviau Tomui šansą.	I gave Tom a chance.
Aš manau, kad turime paskambinti Tomui.	I think we should call Tom.
Aš mokausi japonų kalbos.	I am learning Japanese.
Aš negaliu numatyti ateities.	I can't predict the future.
Aš nenoriu dirbti šiomis sąlygomis.	I don't want to work under these conditions.
Aš nepažįstu ne vieno iš jos mokinių.	I don't know any of her students.
Aš neturiu dviračio.	I don't have a bicycle.
Aš nežinau ar pasukti į kairę ar į dešinę.	I don't know whether to turn left or right.
Aš nežinau visko apie tą įvykį.	I don't know everything about the event.
Aš noriu numesti svorio.	I want to lose weight.
Aš pamačiau šviesą tunelio gale.	I saw a light at the end of the tunnel.
Aš pasiekiau savo tikslą per savaitę.	I reached my destination in a week.
Aš pažiūrėjau jam į akis.	I looked him in the eyes.
Aš tave palydėsiu iki oro uosto.	I'll accompany you to the airport.
Aš tave palydėsiu iki stoties.	I'll accompany you to the station.
Aš turiu gyvybės draudimą.	I have life insurance.
Atneškite knygą man o ne Tomui.	Bring the book to me, not to Tom.
Atrodė, kad tai patinka Tomui.	Tom seemed to like that.
Atsirado dūmai.	Smoke appeared.
Bilas nemėgsta kad jo tėvas taip daug rūko.	Bill doesn't like the fact that his father smokes a lot.
