Tai viskas.	That is all.
Jis kartais labai keistas.	Sometimes he can be a strange guy.
Jis keistas vaikinas.	He's a weird guy.
Jis - mano pirmoji meilė.	He's my first love.
Jis neturėjo, ką pasakyti, todėl išėjo.	He had nothing to say, so he left.
Jis neturėjo pakankamai pinigų.	He did not have enough money.
Jis pats turėjo ieškoti savo kambario.	He had to look for his room by himself.
Jis stiprus.	He's strong.
Ji sunkiai dirbo.	She worked hard.
Jums negalima išeiti iš šio kambario.	You can't leave this room.
Kada ir kur tu gavai tą dovaną?	When and where did you receive the gift?
Kada ji pasakė tuos žodžius?	When did she say those words?
Kaip giliai?	How deep?
Kalbėk aiškiai.	Speak clearly.
Kas ten apačioje dedasi?	What's going on down there?
Kieno šios knygos?	Whose books are these?
Kodėl tu nenori jam apie ją papasakoti?	Why do you not want to tell him about her?
Kokios tu nori knygos?	What kind of book do you want?
Lik ten ir nejudėk!	Stay there and don't move!
Mačiau ją praeitą savaitę.	I saw her last week.
Mačiau tą filmą penkis kartus.	I saw the movie five times.
Mano tėvas yra jaunas.	My father is young.
Man patinka ši muzika.	I like this music.
Man reikia kambario.	I need a room.
Mes amžinai būsime draugais.	We'll be friends forever.
Mūsų darbas yra beveik baigtas.	Our work is almost over.
Nejudėk.	Don't move.
Nepamiršk apie mus!	Don't forget about us!
Nepamiršk mūsų.	Do not forget about us.
Nepamiršk mūsų!	Don't forget about us!
Nepamiršk rytoj pasikalbėti su juo.	Don't forget to talk to him tomorrow.
Ne visi mėgsta tą knygą.	Not everyone likes that book.
Niekada nesu buvęs JAV.	I have never been to the U.S.
Pabandyk dar kartą.	Try it once more.
Pasilik čia su mumis.	Stay here with us.
Pasilik dar truputį.	Stay a little longer.
Pavojus, pavojus!	Danger, danger!
Prašau, tiesiog išeik.	Please just leave.
Prašom papasakoti apie save.	Please tell us about yourself.
Šis šuo greitai bėga.	This dog runs fast.
Šitai atsitiko prieš tai kai aš gavau tavo laišką.	This happened prior to receiving your letter.
Tai siaubinga.	It's terrible.
Tas vyras kurį tu vakar matei yra mano dėdė.	The man you saw yesterday is my uncle.
Tomas atrodo jaunas.	Tom looks young.
Tomas mirė mano rankose.	Tom died in my arms.
Tomas nebuvo pasirengęs mirti.	Tom wasn't ready to die.
Tomas ne idiotas.	Tom is not an idiot.
Tomas ne mano tėvas. Jis mano dėdė.	Tom isn't my father. He's my uncle.
Tomas nėra keistas.	Tom isn't weird.
Tomas neturėjo pakankamai pinigų.	Tom didn't have enough money.
Tomas padarys gerą dalyką.	Tom will do the right thing.
Tu bijai mirties.	You are afraid of death.
Tu bijai.	You are afraid.
Tu esi per jaunas mirti, mano drauge.	You're too young to die, my friend.
Tu jo bijai.	You're afraid of him.
Tu turėsi palaukti.	You'll have to wait.
Vakar gavau nuo jos laišką.	I had a letter from her yesterday.
Visi jį mėgsta.	He is liked by everybody.
Viskas. Jie mane nužudys.	This is it. They're going to kill me.
Žmogaus kūnas yra 70% vanduo.	Man is 70% water.
Žmonės mėgsta kalbėti.	People love to talk.
Abu broliai yra vis dar gyvi.	Both brothers are still alive.
Abu yra gyvi.	Both are alive.
Ačiū, broliai.	Thank you, brothers.
Ar gali man atleisti?	Can you forgive me?
Ar jūs negalite skaityti?	Can't you read?
Ar manai, kad Tomas vis dar užsiėmęs?	Do you think that Tom is still busy?
Ar matai tą mažą namą?	Can you see that small house?
Ar padarei savo namų darbus pats?	Did you do your homework by yourself?
Ar šiuo metu esi užsiėmęs?	Are you busy at the moment?
Ar tavo mokykla toli nuo čia?	Is your school far from here?
Ar tu mane jau pamiršai?	Have you already forgotten me?
Ar tu negali skaityti?	Can't you read?
Ar tu tikrai nori laimėti?	Do you really want to win?
Ar yra vietos dar vienam žmogui?	Is there space for one more person?
Aš ateinu.	I'm coming.
Aš buvau labai atsargus.	I was very careful.
Aš čia truputį užsiėmęs, Tomai.	I'm a little busy here, Tom.
Aš esu įsitikinęs kad jis yra nekaltas.	I am convinced that he is innocent.
Aš galėčiau atsakyti jiems visiems.	I could reply to all of them.
Aš galiu laimėti. Aš esu tikras dėl to.	I can win. I'm sure of it.
Aš galiu skaityti.	I can read.
Aš jau užsiėmęs.	I'm already busy.
Aš laukiau dešimt minučių.	I waited for ten minutes.
Aš mačiau šunį.	I saw a dog.
Aš mėgstu skaityti.	I like reading.
Aš moku skaityti.	I can read.
Aš negalėjau nei valgyti, nei gerti.	I could neither eat nor drink.
Aš negaliu įsivaizduoti kad tu galėtum pasakyti tokius dalykus.	I can't imagine that you could say such things.
Aš negaliu skaityti šį.	I can't read this.
Aš nenoriu skaityti šios knygos.	I don't want to read this book.
Aš nieko nenoriu skaityti.	I don't want to read anything.
Aš norėčiau keliauti aplink pasaulį.	I'd like to travel around the world.
Aš norėčiau padėti, bet aš esu labai užsiėmęs.	I'd love to help you out, but I'm terribly busy.
Aš pamiršau kur yra mano mokykla.	I forgot where my school is.
Aš pažadu tau kad ateisiu anksti.	I promise you I'll come early.
Aš prašau tavęs man atleisti.	I ask that you forgive me.
Aš tokia laiminga, kad sutikau tave.	I am so happy that I met you.
Aš toks laimingas, kad sutikau tave.	I am so happy that I met you.
Aš turiu atsakyti į šį laišką.	I have to answer his letter.
Aš turiu keletą gerų draugų.	I have several good friends.
Aš turiu skaityti.	I have to read.
Aš turiu žiedą.	I have a ring.
Ateisiu po dešimt minučių.	I'll join in ten minutes.
Atėjai pačiu laiku.	You came at just the right time.
Atidaryk burną!	Open your mouth!
Atleisk man, mano meile.	Forgive me, my love.
Bet jis žinojo kad jis neturėjo jokio pasirinkimo.	But he knew he had no choice.
Būk atsargus, gerai?	Be careful, OK?
Būk atsargus!	Pay attention!
Čia yra tas vyras kurio aš laukiau.	This is the man for whom I have been waiting.
Dievas padeda tiems, kurie patys sau padeda.	God helps those who help themselves.
Esu labai laiminga, kad sutikau tave.	I'm very happy to have met you.
Esu labai laimingas, kad sutikau tave.	I'm very happy to have met you.
Gaila kad negali keliauti su mumis.	It is a pity that you cannot travel with us.
Gali įsivaizduoti?	Can you imagine?
Gavau laišką iš savo draugo.	I got a letter from my friend.
Iki rytojaus!	See you tomorrow!
Iš jo dar nėra žinių.	I have had no news from him yet.
Jau ateinu.	I'm coming.
Jeigu tu viską pamiršai, tada kodėl aš viską prisimenu?	If you've forgotten everything, then why do I remember everything?
Jei nesi labai užsiėmęs, gal galėtum man vieną minutę padėti?	If you're not too busy, could you help me for just a minute?
Jei tu esi užsiėmęs, aš tau padėsiu.	If you're busy, I'll help you.
Jie buvo tikri kad jie galėtų tą padaryti ir vėl.	They were sure they could do it again.
Jie gyvi?	Are they alive?
Jie kalbėjo apie meilę.	They talked about love.
Jie kalbėjo visą naktį.	They went on talking all night.
Jie turi didelį namą.	They have a large house.
Ji kalbėjo taip, tarsi būtų mano mama.	She talked as if she were my mother.
Ji moka labai gerai skaityti.	She can read very well.
Ji nori skaityti knygą.	She wants to read a book.
Ji paliko savo šunį mano kambaryje.	She left her dog in my room.
Ji pilna energijos.	She is full of energy.
Jis bijo, kad gali mirti.	He is afraid that he will die.
Jis bijo mirti.	He is afraid that he will die.
Jis buvo užsiėmęs.	He was busy.
Jis girtas.	He is drunk.
Jis mane nužudė vienu žodžiu.	He killed me with one word.
Jis moka skaityti mintis.	He can read thoughts.
Jis turi atsakyti į klausimą.	He needs to answer the question.
Jis yra geresnis už visus kitus.	He is better than anyone else.
Jis yra labai svarbus žmogus.	He's a very important person.
Ji vis dar pilna energijos.	She is still full of energy.
Jų mokykla atrodo labai blogai.	Their school looks very bad.
Jūs turite man atleisti.	You must forgive me.
Kada esate užsiėmęs?	When are you busy?
Ką ji jame mato?	What does she see in him?
Ką ji mano apie mano automobilį?	What does she think about my car?
Ką tu padarei su savo kamera?	What did you do with your camera?
Kodėl jis visada taip blogai elgiasi?	Why does he always behave so badly?
Kodėl jis visada taip negerai elgiasi?	Why does he always behave so badly?
Kokį maistą Tomas mėgsta?	What kind of food does Tom like?
Kokios muzikos turite?	What kind of music do you have?
Kuri moteris su tavimi kalbėjo?	Which woman was talking to you?
Kur tavo mokykla?	Where is your school?
Mačiau šunį.	I saw a dog.
Mama sako kad aš kalbu per tyliai.	Mum says that I speak too quietly.
Man nereikia tavo leidimo.	I don't need your permission.
Mano tėvas yra užsiėmęs.	My father is busy.
Man reikia su tavim pasikalbėti akis į akį.	I need to talk to you in person.
Man trūksta žodžių.	I'm at a loss for words.
Man visai nepatinka mano plaukai.	I don't like my hair at all.
Mes turime skaityti šią knygą vėl ir vėl.	We must read this book again and again.
Mūsų mokykla yra miesto centre.	Our school is in the center of the town.
Na, asmeniškai man tai nerūpi.	Well, personally, I don't really care for it.
Nebegaliu daugiau taip gyventi.	I can't live like this anymore.
Negaliu įsivaizduoti gyvenimo be tavęs.	I can't imagine life without you.
Niekas nežino priežasties.	No one knows the reason.
Nieko nedaryk kol aš ateisiu.	Don't do anything until I come.
Noriu susitikti su tavo tėvu.	I'd like to see your father.
O Dieve, kaip liūdna!	My God, how sad!
Pakelk kairę ranką.	Raise your left hand.
Pakelk ranką.	Raise your hand.
Palik maistą ant stalo.	Leave the food on the table.
Palik mano automobilį ramybėje.	Leave my car alone.
Pasakyk tam žmogui kur yra mano namas.	Tell that person where my house is.
Prašau atsipalaiduok.	Please relax.
Pro langą pamačiau jo automobilį.	I saw a car through the window.
Saugokis!	Watch out!
Saulė yra virš manęs.	The sun is above me.
Šiandien esu užsiėmęs.	I'm busy today.
Ši situacija yra juokinga.	This situation is funny.
Šis telefonas neveikia.	This telephone is out of order.
Štai namas, kuriame jis gyveno.	Here is the house where he lived.
Štai yra tas vyras kurio aš laukiau.	This is the man I've been waiting for.
Tačiau jis žinojo kad jis neturėjo jokio pasirinkimo.	But he knew he had no choice.
Tai akivaizdu.	It's abundantly clear.
Tai aš jį sutikau.	It was I who met him.
Taip, aš tuoj pat ateinu.	Yes, I'm coming immediately.
Tai vienintelė kamera kurią aš turiu.	This is the only camera I've got.
Tai yra tas vyras kurio aš visą savaitę laukiau.	That's the man I've been waiting for a week.
Tarp mūsų viskas baigta. Atiduok man mano žiedą!	It's over between us. Give me back my ring!
Tau nereikia mano leidimo.	You don't need my permission.
Tau reikia atsakyti į laišką.	You need not answer the letter.
Tavo planas atrodo geresnis nei mano.	Your plan seems better than mine.
Telefonas šiuo metu neveikia.	The phone doesn't work right now.
Tomas galvoja parduoti namą.	Tom is thinking of selling his house.
Tomas liks.	Tom'll stay.
Tomas negalėjo rasti priežasties kodėl jam reikėjo grįžti namo anksti.	Tom could think of no reason why he needed to go home early.
Tu buvai užsiėmęs.	You were busy.
Tu čia būsi saugi.	You'll be safe here.
Tu esi pilna energijos.	You are full of energy.
Tu esi svarbus.	You are important.
Tu nužudei juos.	You killed them.
Tu nužudei mano tėvą.	You killed my father.
Tu pilna energijos.	You are full of energy.
Tu turėtum laikyti omeny tą ką aš tau pasakiau.	You should keep in mind what I told you.
Tu turi man atleisti.	You must forgive me.
Tu vis dar esi pilna energijos.	You are still full of energy.
Tu vis dar pilna energijos.	You are still full of energy.
Yra daug žodžių kurių nesuprantu.	There are many words that I don't understand.
Ačiū už informaciją.	Thank you for the information.
Ar esi pasiruošusi valgyti?	Are you ready to eat?
Ar galėtum atidaryti langą?	Could you open the window?
Ar šitie tavo?	Are these yours?
Ar tu pasiruošusi išeiti?	Are you ready to go out?
Ar turiu atsakyti angliškai?	Do I have to answer in English?
Aš atėjau čia mokytis.	I came here to learn.
Aš esu didvyris.	I'm a hero.
Aš galiu jums parodyti dokumentus.	I can show the documents to you.
Aš galiu parodyti jums nuotraukas.	I can show you the pictures.
Aš galiu parodyti tau nuotraukas.	I can show you the pictures.
Aš galiu tau parodyti dokumentus.	I can show the documents to you.
Aš iš tikrųjų jo nepažįstu.	I really don't know him.
Aš jau pasiruošusi.	I'm already ready.
Aš kalbu angliškai kiekvieną dieną.	I speak English every day.
Aš kasdien kalbu angliškai.	I speak English every day.
Aš ketinu eiti.	I'm going to go.
Aš myliu visus savo draugus.	I love my friends.
Aš netikiu Dievu.	I don't believe in God.
Aš nežinau kur jis nuėjo.	I don't know where he went.
Aš noriu ją apsaugoti.	I want to protect her.
Aš noriu pasikalbėti su tavo dėde.	I want to talk with your uncle.
Aš paprasčiausiai neturiu laiko padaryti visko ką aš norėčiau padaryti.	I simply haven't the time to do everything I want to do.
Aš pasiruošusi.	I am ready.
Aš pasiruošusi išeiti.	I'm ready to leave.
Aš sužinojau kur jis yra.	I found out where he is.
Aš tai dariau visą gyvenimą.	I've done this all my life.
Aš tavęs ieškojau.	I have been looking for you.
Aš tik žiūriu.	I'm just looking around.
Aš tuoj mirsiu.	I'm about to die.
Aš turiu ją išgelbėti bet kokia kaina.	I must save her at all costs.
Aš turiu mokytis.	I must study.
Atsiprašau, ar galėtumėte atidaryti langą?	Excuse me, but would you please open the window?
Dabar gyvenu su savo dėde.	Now I live with my uncle.
Daviau jam tą truputį pinigų kuriuos turėjau su savimi.	I gave him what little money I had with me.
Eik lėtai.	Walk slowly.
Galbūt tai likimas.	Maybe it is destiny.
Gali čia mokytis.	You can study here.
Gyvenimas prasideda tada kada tu esi pasiruošusi jį gyventi.	Life begins when you're ready to live it.
Ieškojau tokios merginos kaip tu.	I've been looking for a girl like you.
Išeik iš klasės.	Get out of the classroom.
Jaučiu kad Tomas greitai pasirodys.	I've got a feeling that Tom will show up soon.
Jiems reikalinga mūsų pagalba.	They need our help.
Ji parašė naują knygą.	She wrote a new book.
Jis grįžta į tą vietą iš kurios tu atėjai.	He's returning to the place that you came from.
Jis kalba angliškai geriau, negu aš.	He speaks English better than I do.
Jis kartais elgiasi keistai.	His behaviour is sometimes weird.
Jis neatrodo labai sveikas.	He doesn't look very healthy.
Jis nenori šiandien mokytis.	He doesn't want to study today.
Jis turi didelę šeimą.	He's got a large family.
Jis turi sunkiai mokytis.	He has to study hard.
Jis visada gerai žaidžia.	He always plays well.
Kai aš žiūriu į šitą nuotrauką, aš prisimenu savo šeimą.	When I look of this photo I remember my family.
Kai kurie tiki Dievu, bet kiti ne.	Some believe in God, but others do not.
Kai kurie žmonės tiki Dievu, o kiti ne.	Some people believe in God and others don't.
Kaip tik šito ir ieškojau.	This is exactly what I've been looking for.
